months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
281,43,529398,OH,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,camping,other-relative,1/9/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbrook,21,3,NO,1,NO,60190,9260,9260,41670,BMW,X6,1999,N
246,44,940942,OH,250/500,2000,1649.18,0,MALE,College,farming-fishing,base-jumping,other-relative,2/22/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,18,1,YES,1,YES,61380,11160,5580,44640,Honda,Civic,2009,Y
298,49,442677,OH,250/500,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,2/21/2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,Springfield,17,1,NO,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N
330,50,365364,IL,500/1000,1000,978.46,0,FEMALE,High School,sales,yachting,husband,2/4/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,Hillsdale,19,1,YES,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N
362,50,114839,IL,250/500,500,1198.34,4000000,MALE,Associate,sales,board-games,wife,1/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Columbus,17,3,?,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N
241,38,872734,IN,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,kayaking,not-in-family,1/17/2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,Arlington,23,3,?,0,YES,77880,12980,12980,51920,Accura,MDX,2008,N
245,41,267885,IN,500/1000,2000,1212,0,MALE,Masters,exec-managerial,basketball,unmarried,1/28/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Springfield,4,1,YES,0,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N
371,52,740505,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,own-child,2/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Riverwood,2,2,YES,2,?,88920,6840,13680,68400,Accura,RSX,2010,N
343,52,629663,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,2/16/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,Arlington,2,1,?,0,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y
377,53,839884,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,Hillsdale,10,3,YES,1,NO,59040,6560,6560,45920,Saab,93,2015,N
154,37,241562,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,other-relative,1/9/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,2,1,?,0,NO,79530,14460,7230,57840,Accura,MDX,2000,N
166,34,405533,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,wife,2/9/2015,Single Vehicle Collision,Side Collision,Total Loss,NY,Columbus,18,1,NO,0,YES,53680,4880,4880,43920,Honda,CRV,2005,N
298,46,667021,OH,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,dancing,own-child,2/16/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Arlington,18,1,NO,2,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N
235,42,511621,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,2/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Springfield,7,4,?,2,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N
172,35,476923,IL,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,paintball,own-child,1/11/2015,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Hillsdale,19,3,?,2,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N
27,28,735822,IN,100/300,2000,1371.78,0,MALE,JD,farming-fishing,polo,other-relative,2/4/2015,Multi-vehicle Collision,Front Collision,Major Damage,PA,Riverwood,10,3,?,0,YES,53600,5360,10720,37520,Audi,A5,2015,Y
428,54,492745,IN,100/300,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,unmarried,1/22/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NY,Riverwood,16,3,NO,1,?,76560,12760,6380,57420,Nissan,Ultima,2009,N
99,32,130930,IN,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,golf,unmarried,1/10/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Arlington,17,1,YES,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,N
107,26,261119,IL,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,own-child,1/10/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Columbus,2,3,NO,2,NO,78650,14300,7150,57200,Audi,A3,1996,Y
272,41,280709,OH,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,reading,own-child,2/16/2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,19,1,?,1,?,71060,6460,12920,51680,Saab,92x,2010,N
151,37,898573,IN,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,dancing,own-child,2/8/2015,Single Vehicle Collision,Front Collision,Minor Damage,WV,Northbrook,0,1,YES,1,?,38830,3530,3530,31770,Suburu,Legacy,1999,N
249,43,547802,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,own-child,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,SC,Riverwood,16,1,?,0,YES,53500,5350,5350,42800,Saab,92x,2015,N
177,38,600845,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,2/1/2015,Single Vehicle Collision,Front Collision,Major Damage,VA,Columbus,20,1,YES,2,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y
190,40,390381,OH,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,camping,other-relative,2/2/2015,Parked Car,?,Trivial Damage,SC,Hillsdale,10,1,?,2,YES,6300,630,630,5040,Nissan,Ultima,2001,N
174,36,629918,IL,100/300,2000,1278.75,0,FEMALE,College,tech-support,paintball,own-child,2/6/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Riverwood,21,3,?,2,NO,65400,10900,10900,43600,Dodge,RAM,2012,N
95,28,208298,OH,250/500,1000,773.99,0,MALE,Associate,armed-forces,board-games,other-relative,1/1/2015,Vehicle Theft,?,Trivial Damage,PA,Springfield,3,1,YES,1,NO,3200,640,320,2240,Mercedes,E400,2014,N
371,51,513099,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,other-relative,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,NY,Arlington,7,1,YES,0,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y
2,28,184938,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,not-in-family,1/17/2015,Single Vehicle Collision,Side Collision,Minor Damage,NY,Northbend,19,1,YES,0,YES,58140,6460,6460,45220,Saab,92x,2008,N
269,44,187775,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,chess,own-child,2/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Columbus,15,3,?,0,?,98670,15180,15180,68310,Chevrolet,Tahoe,2010,Y
101,27,326322,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,golf,other-relative,1/2/2015,Parked Car,?,Minor Damage,SC,Hillsdale,7,1,?,0,NO,5900,1180,590,4130,Mercedes,E400,2009,N
94,30,146138,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,paintball,other-relative,2/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,NC,Arlington,19,1,?,1,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N
117,28,336047,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,yachting,unmarried,2/5/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Springfield,13,2,YES,0,?,55440,5040,10080,40320,Suburu,Forrestor,2009,Y
111,27,532330,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,2/27/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Northbend,2,3,NO,1,NO,80850,7350,14700,58800,Ford,F150,2011,Y
242,40,118137,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,bungie-jumping,husband,1/27/2015,Vehicle Theft,?,Trivial Damage,WV,Springfield,5,1,YES,1,NO,7480,680,680,6120,Saab,95,1998,N
440,61,212674,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,movies,wife,1/26/2015,Single Vehicle Collision,Side Collision,Major Damage,OH,Riverwood,21,1,?,2,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y
20,23,935596,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,base-jumping,wife,1/13/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,21,3,NO,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y
461,57,737593,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,own-child,1/14/2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,7,3,NO,0,?,59040,9840,9840,39360,Dodge,RAM,1995,N
208,36,812025,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,other-relative,2/22/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,16,3,YES,1,YES,50500,10100,5050,35350,Accura,TL,2004,N
279,43,168151,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,1/17/2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,13,1,YES,0,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y
244,40,594739,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,husband,2/2/2015,Vehicle Theft,?,Trivial Damage,NY,Springfield,2,1,YES,1,YES,5940,660,660,4620,Toyota,Camry,2014,N
134,30,843227,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,dancing,unmarried,1/7/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Northbend,19,3,?,0,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y
122,29,283925,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,other-relative,2/2/2015,Parked Car,?,Trivial Damage,SC,Riverwood,17,1,?,0,NO,3850,350,350,3150,Dodge,Neon,2014,N
156,31,475588,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,husband,2/7/2015,Single Vehicle Collision,Front Collision,Major Damage,NC,Arlington,3,1,?,2,?,59000,5900,5900,47200,Ford,Fusion,2013,Y
232,43,751905,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,husband,1/18/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Arlington,17,3,NO,0,?,70600,7060,14120,49420,Volkswagen,Passat,2013,Y
244,40,226725,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,other-relative,1/10/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Hillsdale,5,3,?,1,?,61490,5590,11180,44720,Dodge,RAM,2001,N
84,30,942504,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,9,1,NO,1,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N
394,57,395572,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,own-child,1/25/2015,Vehicle Theft,?,Trivial Damage,NC,Hillsdale,9,1,NO,1,NO,6890,1060,1060,4770,Audi,A5,1999,N
246,45,889883,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,wife,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,PA,Columbus,9,3,?,2,?,53280,11840,5920,35520,Toyota,Camry,2006,Y
35,29,818167,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,2/24/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Springfield,22,3,NO,0,?,78300,15660,7830,54810,BMW,X5,2009,N
156,37,277767,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,other-relative,1/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,PA,Springfield,15,3,YES,0,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N
195,36,842618,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,wife,2/25/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Hillsdale,14,3,YES,2,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N
369,55,577810,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,husband,1/27/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,VA,Arlington,6,3,?,2,YES,85300,17060,8530,59710,Toyota,Highlander,2003,N
271,40,873114,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,wife,2/19/2015,Parked Car,?,Minor Damage,NY,Hillsdale,6,1,NO,0,NO,3080,560,280,2240,Audi,A3,2012,N
332,47,994538,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,other-relative,1/31/2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,22,4,YES,2,?,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y
107,26,727792,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,wife,1/18/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,14,3,?,1,NO,59700,11940,11940,35820,Nissan,Ultima,2002,N
217,39,522506,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,other-relative,1/10/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Columbus,16,3,NO,0,?,64920,10820,10820,43280,Ford,Fusion,1997,N
243,43,367595,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,1/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Riverwood,10,3,?,0,NO,37530,4170,4170,29190,Jeep,Wrangler,2008,N
296,42,586104,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,husband,2/16/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Columbus,9,3,YES,1,NO,64080,7120,7120,49840,Saab,93,2012,N
264,41,424862,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,2/8/2015,Single Vehicle Collision,Rear Collision,Minor Damage,PA,Northbrook,4,1,NO,1,?,60390,10980,5490,43920,BMW,M5,2004,Y
108,33,512813,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,1/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Northbend,6,3,?,0,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,Y
32,38,356768,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,15,3,YES,2,YES,70900,14180,7090,49630,BMW,X6,1997,N
259,39,330506,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,PA,Columbus,12,3,NO,1,?,46560,7760,7760,31040,Nissan,Ultima,2012,N
186,33,779075,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,wife,1/14/2015,Vehicle Theft,?,Trivial Damage,NY,Arlington,3,1,NO,2,?,4730,860,860,3010,Chevrolet,Malibu,2013,Y
201,40,799501,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,not-in-family,2/18/2015,Vehicle Theft,?,Minor Damage,SC,Northbrook,14,1,YES,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N
436,58,987905,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,1/10/2015,Single Vehicle Collision,Rear Collision,Major Damage,WV,Riverwood,10,1,?,0,?,59900,11980,5990,41930,BMW,X5,1997,Y
189,36,967756,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,own-child,2/13/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,17,3,?,1,YES,79560,13260,13260,53040,Ford,Escape,2009,N
105,33,830414,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,not-in-family,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,VA,Northbrook,8,1,YES,0,?,70290,12780,6390,51120,Accura,MDX,2008,N
163,31,127313,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,1/7/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Hillsdale,14,3,YES,2,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,N
219,40,786957,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,1/29/2015,Vehicle Theft,?,Trivial Damage,SC,Riverwood,6,1,?,1,NO,6400,640,640,5120,Toyota,Camry,1997,N
88,25,332892,IN,250/500,1000,1194,0,FEMALE,JD,handlers-cleaners,movies,husband,2/13/2015,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,6,1,YES,1,YES,66780,7420,7420,51940,Ford,Escape,2013,Y
40,39,448642,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,2/1/2015,Parked Car,?,Minor Damage,VA,Northbrook,8,1,NO,0,?,8760,1460,1460,5840,BMW,3 Series,2013,N
284,42,526039,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,kayaking,wife,1/29/2015,Single Vehicle Collision,Side Collision,Major Damage,NC,Arlington,13,1,YES,0,?,94160,8560,17120,68480,Chevrolet,Malibu,1996,N
59,40,444422,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,other-relative,2/6/2015,Multi-vehicle Collision,Front Collision,Total Loss,OH,Springfield,0,3,?,0,NO,51570,5730,11460,34380,BMW,X5,2010,N
39,31,689500,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,husband,1/28/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Northbend,14,3,?,1,NO,52700,10540,10540,31620,BMW,X6,2014,Y
147,34,806081,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,wife,1/21/2015,Single Vehicle Collision,Side Collision,Minor Damage,NY,Columbus,13,1,YES,2,?,101010,15540,15540,69930,Mercedes,ML350,1998,N
156,37,384618,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,unmarried,1/16/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Columbus,16,4,?,1,YES,53400,5340,5340,42720,Honda,Civic,2010,Y
123,31,756459,IN,250/500,500,1326,0,FEMALE,Associate,prof-specialty,basketball,wife,2/17/2015,Single Vehicle Collision,Side Collision,Total Loss,SC,Northbrook,13,1,?,1,NO,72120,12020,12020,48080,Mercedes,ML350,2009,N
231,43,655787,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,wife,2/1/2015,Multi-vehicle Collision,Front Collision,Minor Damage,PA,Hillsdale,15,3,YES,2,YES,77100,7710,15420,53970,Audi,A3,2010,N
247,39,419954,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,wife,2/25/2015,Parked Car,?,Trivial Damage,SC,Northbend,3,1,?,2,?,3300,600,0,2700,Dodge,RAM,2003,N
194,35,275092,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,not-in-family,2/26/2015,Parked Car,?,Minor Damage,WV,Northbend,7,1,YES,1,?,5940,1080,540,4320,Nissan,Pathfinder,2003,N
119,27,515698,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,other-relative,2/6/2015,Multi-vehicle Collision,Rear Collision,Major Damage,PA,Northbend,16,2,NO,1,?,63720,7080,21240,35400,Accura,TL,2006,N
259,43,132871,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,2/3/2015,Vehicle Theft,?,Trivial Damage,SC,Riverwood,15,1,NO,1,NO,7680,1280,640,5760,Audi,A5,2008,N
107,31,714929,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,1/27/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Riverwood,21,3,YES,1,?,93730,14420,21630,57680,Honda,CRV,2001,N
48,44,297816,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,other-relative,1/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Arlington,23,3,YES,0,?,87300,17460,17460,52380,Jeep,Wrangler,2013,N
267,40,426708,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,wife,1/24/2015,Parked Car,?,Trivial Damage,NY,Columbus,5,1,?,0,NO,5670,1260,630,3780,Ford,F150,1997,N
286,47,615047,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,husband,1/17/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Springfield,15,3,YES,0,NO,65800,13160,6580,46060,Accura,TL,2001,N
175,34,771236,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,wife,2/23/2015,Single Vehicle Collision,Front Collision,Major Damage,NY,Arlington,14,1,?,2,YES,36720,4080,4080,28560,Honda,Accord,2009,Y
111,29,235869,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,own-child,1/9/2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Riverwood,1,1,?,1,YES,52800,4800,9600,38400,Mercedes,ML350,1996,Y
151,37,931625,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,2/15/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Arlington,14,3,NO,1,YES,59100,5910,5910,47280,Nissan,Maxima,1998,Y
156,37,371635,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,unmarried,1/16/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,17,3,?,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999,N
165,36,427199,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,husband,1/14/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Northbend,20,3,NO,2,NO,45700,4570,4570,36560,BMW,3 Series,2008,N
253,41,261315,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,other-relative,1/1/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Springfield,10,3,NO,2,YES,80740,7340,14680,58720,Toyota,Camry,2014,Y
10,26,582973,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,not-in-family,2/16/2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Northbrook,3,3,?,0,?,31350,2850,5700,22800,Honda,Accord,2001,Y
158,33,278091,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,1/4/2015,Single Vehicle Collision,Side Collision,Total Loss,SC,Hillsdale,0,1,?,0,?,35000,3500,7000,24500,Suburu,Legacy,2012,N
436,59,153154,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,own-child,1/12/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,10,3,?,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014,N
91,30,515217,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,unmarried,1/8/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,13,3,YES,2,?,84500,13000,13000,58500,BMW,X6,2009,N
256,42,860497,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,wife,1/22/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Northbend,14,1,NO,2,?,75500,7550,15100,52850,Nissan,Ultima,1998,N
274,46,351741,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,not-in-family,1/13/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Riverwood,22,3,NO,1,?,90600,15100,15100,60400,BMW,X5,2009,N
275,45,403737,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,wife,1/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,VA,Northbend,8,3,YES,1,?,64320,5360,10720,48240,Accura,MDX,1998,N
1,33,162004,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,not-in-family,1/19/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Northbend,1,3,?,1,?,31700,6340,3170,22190,Toyota,Highlander,2006,N
85,30,740384,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,other-relative,1/31/2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,19,1,YES,0,YES,74280,12380,12380,49520,Suburu,Forrestor,2006,Y
233,37,876714,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,wife,2/6/2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Columbus,17,1,YES,0,YES,80520,13420,6710,60390,Toyota,Corolla,2005,N
142,30,951543,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,polo,husband,2/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,13,3,YES,0,YES,63600,6360,12720,44520,Dodge,RAM,2010,N
266,44,576723,IL,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,movies,husband,1/2/2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,4,1,?,1,YES,32800,3280,3280,26240,BMW,3 Series,2012,N
350,50,391003,OH,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,board-games,other-relative,2/26/2015,Multi-vehicle Collision,Rear Collision,Total Loss,PA,Northbend,14,3,NO,0,NO,44190,9820,4910,29460,Audi,A3,2015,N
97,26,225865,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,sleeping,not-in-family,2/8/2015,Multi-vehicle Collision,Rear Collision,Major Damage,VA,Springfield,4,2,YES,2,NO,50400,10080,5040,35280,Honda,CRV,2000,Y
399,55,984948,IL,500/1000,2000,995.56,0,MALE,JD,tech-support,sleeping,not-in-family,2/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Northbend,23,3,YES,1,YES,88400,17680,8840,61880,Nissan,Pathfinder,2010,N
305,49,890328,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,bungie-jumping,own-child,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,NY,Hillsdale,21,3,YES,0,?,66550,12100,6050,48400,Volkswagen,Jetta,2003,N
276,47,803294,IN,100/300,1000,1724.09,0,MALE,PhD,craft-repair,yachting,own-child,1/12/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,23,3,YES,0,?,65780,5980,11960,47840,Chevrolet,Tahoe,2014,N
257,40,414913,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,base-jumping,husband,2/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Columbus,6,3,?,0,YES,51810,9420,4710,37680,Audi,A3,2002,Y
78,31,414519,IN,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,board-games,own-child,2/3/2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,21,1,NO,1,NO,55660,5060,10120,40480,Honda,CRV,2009,Y
